name,common_name,type,type_fr,ra_h,dec_deg,size_w_arcmin,size_h_arcmin,mag,filter,messier
NGC4981,,G,galaxie,13.1469,-6.7775,2.70,1.97,11.41,sans,
NGC4984,,G,galaxie,13.1492,-15.5163,3.37,2.50,11.01,sans,
NGC4995,,G,galaxie,13.1613,-7.8334,2.43,1.49,11.11,sans,
NGC5005,,G,galaxie,13.1823,37.0592,4.82,1.52,10.71,sans,
NGC5011,,G,galaxie,13.2144,-43.0962,2.92,2.43,11.38,sans,
M53,,GCl,amas globulaire,13.2153,18.1691,9.00,9.00,7.79,sans,53
NGC5018,,G,galaxie,13.217,-19.5182,3.49,2.17,10.85,sans,
NGC5033,,G,galaxie,13.2243,36.5939,9.84,4.58,10.68,sans,
NGC5026,,G,galaxie,13.2371,-42.9613,3.52,1.79,11.81,sans,
NGC5044,,G,galaxie,13.2567,-16.3855,3.66,3.17,10.78,sans,
NGC5042,,G,galaxie,13.2586,-23.9841,4.15,2.20,11.78,sans,
M63,Sunflower Galaxy,G,galaxie,13.2637,42.0293,11.83,7.16,8.61,sans,63
NGC5053,,GCl,amas globulaire,13.2742,17.6977,4.80,4.80,9.96,sans,
NGC5054,,G,galaxie,13.2829,-16.6349,5.04,2.90,10.79,sans,
IC4214,,G,galaxie,13.2952,-32.1017,2.96,1.84,11.4,sans,
NGC5061,,G,galaxie,13.3014,-26.8372,3.75,3.05,10.31,sans,
NGC5068,,G,galaxie,13.3152,-21.0391,7.48,6.70,10.06,sans,
NGC5077,,G,galaxie,13.3255,-12.657,2.65,2.07,11.65,sans,
NGC5078,,G,galaxie,13.3306,-27.4104,2.56,0.62,10.64,sans,
NGC5084,,G,galaxie,13.338,-21.8276,9.93,2.46,10.49,sans,
NGC5087,,G,galaxie,13.3403,-20.611,2.99,2.52,11.13,sans,
NGC5090,,G,galaxie,13.3536,-43.7046,3.51,2.76,11.28,sans,
NGC5101,,G,galaxie,13.3628,-27.4305,5.90,5.52,10.46,sans,
NGC5105,,G,galaxie,13.3636,-13.2068,1.93,1.37,11.81,sans,
NGC5102,,G,galaxie,13.366,-36.6303,9.71,3.71,9.88,sans,
NGC5121,,G,galaxie,13.4127,-37.6822,2.16,1.67,11.62,sans,
NGC5134,,G,galaxie,13.4218,-21.1342,2.70,1.53,11.77,sans,
NGC5128,Centaurus A,G,galaxie,13.4243,-43.0191,25.88,19.77,7.22,sans,
NGC5120,,OCl,amas ouvert,13.4276,-63.4583,,,10.8,sans,
NGC5139,Omega Centauri,GCl,amas globulaire,13.4461,-47.4769,27.00,27.00,5.33,sans,
NGC5138,,OCl,amas ouvert,13.4542,-59.0409,4.20,4.20,5.33,sans,
NGC5153,,G,galaxie,13.4651,-29.618,2.44,1.89,11.92,sans,
NGC5156,,G,galaxie,13.4789,-48.9168,2.54,2.08,11.86,sans,
NGC5161,,G,galaxie,13.4872,-33.1738,5.36,1.62,11.52,sans,
NGC5172,,G,galaxie,13.4887,17.0519,2.38,1.34,11.96,sans,
NGC5204,,G,galaxie,13.4935,58.4187,4.50,2.82,11.32,sans,
NGC5170,,G,galaxie,13.4969,-17.9664,7.96,1.41,11.23,sans,
M51,Whirlpool Galaxy,G,galaxie,13.498,47.1952,13.71,11.67,8.36,sans,51
NGC5195,,G,galaxie,13.4999,47.2661,5.50,4.36,9.58,sans,
NGC5198,,G,galaxie,13.5032,46.6708,2.03,1.68,11.78,sans,
NGC5168,,OCl,amas ouvert,13.5181,-60.9392,4.20,4.20,9.1,sans,
NGC5193,,G,galaxie,13.5315,-33.2342,2.07,1.89,11.73,sans,
NGC5189,,PN,nebuleuse planetaire,13.5591,-65.9741,2.33,2.33,10.3,LP,
NGC5206,,G,galaxie,13.5622,-48.1512,4.26,2.81,10.49,sans,
IC4296,,G,galaxie,13.6108,-33.9658,4.62,2.43,10.51,sans,
IC4291,,OCl,amas ouvert,13.6157,-62.0931,5.10,5.10,9.7,sans,
M83,Southern Pinwheel Galaxy,G,galaxie,13.6169,-29.8654,13.61,13.21,7.21,sans,83
NGC5248,,G,galaxie,13.6256,8.8852,4.07,2.38,9.97,sans,
NGC5247,,G,galaxie,13.6342,-17.884,5.32,4.26,10.41,sans,
NGC5253,,G,galaxie,13.6655,-31.6401,5.01,2.12,10.28,sans,
NGC5264,,G,galaxie,13.6935,-29.9131,2.97,2.20,11.98,sans,
M3,,GCl,amas globulaire,13.7031,28.3754,16.20,16.20,6.39,sans,3
NGC5266,,G,galaxie,13.7173,-48.1694,2.92,2.09,10.77,sans,
NGC5297,,G,galaxie,13.7732,43.8723,3.72,0.91,11.76,sans,
NGC5286,,GCl,amas globulaire,13.7741,-51.3735,6.60,6.60,8.31,sans,
NGC5281,,OCl,amas ouvert,13.7764,-62.9165,6.90,6.90,5.9,sans,
NGC5308,,G,galaxie,13.7835,60.9732,4.33,0.57,11.32,sans,
NGC5292,,G,galaxie,13.7945,-30.9395,2.29,1.33,11.92,sans,
NGC5288,,OCl,amas ouvert,13.8125,-64.6854,3.60,3.60,11.8,sans,
IC4329,,G,galaxie,13.8181,-30.2959,4.74,2.65,10.97,sans,
NGC5322,,G,galaxie,13.8209,60.1905,5.62,3.49,10.14,sans,
NGC5326,,G,galaxie,13.8474,39.5749,2.18,1.03,11.87,sans,
NGC5307,,PN,nebuleuse planetaire,13.8509,-51.2058,0.21,0.21,11.2,LP,
NGC5328,,G,galaxie,13.8815,-28.4894,3.07,1.71,11.71,sans,
NGC5334,,G,galaxie,13.8818,-1.1146,3.38,2.44,11.73,sans,
NGC5350,,G,galaxie,13.8893,40.3639,2.69,1.66,11.47,sans,
NGC5353,,G,galaxie,13.8907,40.283,2.37,1.18,11.02,sans,
NGC5354,,G,galaxie,13.8907,40.3027,3.03,1.15,11.38,sans,
NGC5315,,PN,nebuleuse planetaire,13.8991,-66.5142,0.10,0.10,9.8,LP,
NGC5316,,OCl,amas ouvert,13.8992,-61.8691,9.90,9.90,6.0,sans,
NGC5333,,G,galaxie,13.9067,-48.5125,2.18,1.09,11.89,sans,
NGC5371,,G,galaxie,13.9278,40.4618,3.98,2.45,11.69,sans,
NGC5389,,G,galaxie,13.9351,59.7421,3.27,0.71,11.98,sans,
NGC5363,,G,galaxie,13.9353,5.2548,4.17,2.75,10.21,sans,
NGC5364,,G,galaxie,13.9367,5.0145,3.80,1.66,10.52,sans,
NGC5377,,G,galaxie,13.938,47.2357,3.64,1.42,11.27,sans,
NGC5383,,G,galaxie,13.9514,41.8463,2.48,1.88,11.57,sans,
NGC5365,,G,galaxie,13.9641,-43.9313,3.88,2.14,11.32,sans,
IC4351,,G,galaxie,13.9651,-29.3157,6.55,1.04,11.62,sans,
NGC5395,,G,galaxie,13.9772,37.4245,2.49,1.16,11.66,sans,
NGC5422,,G,galaxie,14.0117,55.1645,2.81,0.59,11.8,sans,
NGC5448,,G,galaxie,14.0472,49.1727,3.77,1.95,11.88,sans,
M101,,G,galaxie,14.0535,54.3489,23.99,23.07,7.9,sans,101
NGC5408,,G,galaxie,14.0558,-41.3777,2.84,1.53,11.64,sans,
NGC5444,,G,galaxie,14.0567,35.1321,2.48,1.94,11.86,sans,
NGC5419,,G,galaxie,14.0608,-33.9783,3.98,2.95,10.77,sans,
NGC5473,,G,galaxie,14.0787,54.8926,1.99,1.54,11.47,sans,
NGC5474,,G,galaxie,14.0838,53.6622,2.39,1.57,11.01,sans,
NGC5466,,GCl,amas globulaire,14.0909,28.5345,6.60,6.60,9.7,sans,
NGC5485,,G,galaxie,14.1198,55.0017,2.51,1.75,11.5,sans,
NGC5460,,OCl,amas ouvert,14.1244,-48.3425,13.20,13.20,5.6,sans,
IC0983,,G,galaxie,14.1679,17.7338,2.32,2.01,11.96,sans,
NGC5483,,G,galaxie,14.1736,-43.3246,3.42,3.08,11.13,sans,
NGC5493,,G,galaxie,14.1915,-5.0436,2.17,1.92,11.42,sans,
NGC5529,,G,galaxie,14.2595,36.2266,5.79,0.68,11.91,sans,
NGC5516,,G,galaxie,14.2652,-48.1149,2.39,1.56,11.99,sans,
NGC5533,,G,galaxie,14.2688,35.3438,2.86,1.58,11.81,sans,
NGC5532,,G,galaxie,14.2814,10.8074,2.34,1.94,11.94,sans,
NGC5557,,G,galaxie,14.3071,36.4936,2.28,1.12,11.02,sans,
NGC5530,,G,galaxie,14.3075,-43.3886,4.86,2.18,11.19,sans,
NGC5585,,G,galaxie,14.3301,56.7291,4.27,2.62,11.02,sans,
NGC5566,,G,galaxie,14.3389,3.9338,5.36,2.08,10.51,sans,
NGC5556,,G,galaxie,14.3428,-29.2418,3.45,2.75,11.82,sans,
NGC5582,,G,galaxie,14.3453,39.6936,2.20,1.40,11.62,sans,
NGC5576,,G,galaxie,14.351,3.271,2.83,1.87,10.9,sans,
IC4402,,G,galaxie,14.3536,-46.2979,5.78,0.96,11.82,sans,
IC4406,,PN,nebuleuse planetaire,14.374,-44.1502,0.58,0.58,10.2,LP,
NGC5614,,G,galaxie,14.4021,34.8589,2.43,2.00,11.71,sans,
NGC5631,,G,galaxie,14.4426,56.5826,1.95,1.95,11.56,sans,
NGC5606,,OCl,amas ouvert,14.4631,-59.6322,3.60,3.60,7.7,sans,
NGC5634,,GCl,amas globulaire,14.4937,-5.9764,4.50,4.50,10.05,sans,
NGC5638,,G,galaxie,14.4945,3.2333,1.94,1.71,11.21,sans,
NGC5617,,OCl,amas ouvert,14.4956,-60.7108,5.10,5.10,6.3,sans,
NGC5660,,G,galaxie,14.4972,49.6227,2.64,2.43,11.91,sans,
IC4441,,G,galaxie,14.5274,-43.4184,1.95,1.53,11.84,sans,
NGC5678,,G,galaxie,14.5349,57.9214,2.96,1.55,11.43,sans,
IC1029,,G,galaxie,14.5409,49.9046,2.78,0.45,11.29,sans,
NGC5643,,G,galaxie,14.5447,-44.1744,5.27,4.60,11.49,sans,
NGC5676,,G,galaxie,14.5463,49.4579,3.59,1.61,11.22,sans,
NGC5668,,G,galaxie,14.5568,4.4504,1.91,1.61,11.71,sans,
NGC5687,,G,galaxie,14.5812,54.4759,2.41,1.37,11.74,sans,
NGC5689,,G,galaxie,14.5916,48.7416,3.66,0.91,11.8,sans,
NGC5670,,G,galaxie,14.5933,-45.967,2.59,1.18,11.96,sans,
NGC5662,,OCl,amas ouvert,14.5938,-56.6181,8.10,8.10,5.5,sans,
NGC5701,,G,galaxie,14.6531,5.3635,2.00,1.60,11.2,sans,
NGC5688,,G,galaxie,14.6598,-45.019,4.13,1.91,11.81,sans,
NGC5694,,GCl,amas globulaire,14.6601,-26.5383,3.30,3.30,10.89,sans,
NGC5713,,G,galaxie,14.6699,-0.289,2.47,1.70,11.32,sans,
NGC5728,,G,galaxie,14.7066,-17.2531,3.20,1.87,11.51,sans,
NGC5715,,OCl,amas ouvert,14.7249,-57.577,3.60,3.60,9.8,sans,
NGC5740,,G,galaxie,14.7401,1.6798,2.70,1.34,11.9,sans,
NGC5746,,G,galaxie,14.7489,1.955,7.24,1.08,10.55,sans,
NGC5750,,G,galaxie,14.7698,-0.2229,2.65,1.37,11.69,sans,
NGC5749,,OCl,amas ouvert,14.815,-54.4977,7.20,7.20,8.8,sans,
NGC5775,,G,galaxie,14.8993,3.5444,3.70,0.85,11.43,sans,
NGC5792,,G,galaxie,14.973,-1.0911,3.55,1.38,11.26,sans,
NGC5791,,G,galaxie,14.9795,-19.2669,2.71,1.43,11.85,sans,
NGC5786,,G,galaxie,14.9823,-42.0134,2.40,1.32,11.89,sans,
NGC5796,,G,galaxie,14.99,-16.6239,2.65,2.18,11.58,sans,
NGC5806,,G,galaxie,15.0001,1.8913,3.03,1.63,11.65,sans,
IC4499,,GCl,amas globulaire,15.0053,-82.2135,5.10,5.10,8.56,sans,
NGC5812,,G,galaxie,15.0155,-7.4574,2.66,2.29,11.23,sans,
NGC5813,,G,galaxie,15.0198,1.702,4.13,2.70,10.53,sans,
NGC5824,,GCl,amas globulaire,15.0663,-33.0681,5.10,5.10,9.56,sans,
NGC5831,,G,galaxie,15.0686,1.2199,2.24,1.98,11.46,sans,
NGC5822,,OCl,amas ouvert,15.0726,-54.3964,18.00,18.00,6.5,sans,
NGC5838,,G,galaxie,15.0906,2.0993,3.86,1.29,10.81,sans,
NGC5823,,OCl,amas ouvert,15.0918,-55.6037,3.90,3.90,7.9,sans,
NGC5845,,G,galaxie,15.1002,1.6338,1.00,0.71,11.4,sans,
NGC5846,,G,galaxie,15.1081,1.6056,4.27,4.05,10.18,sans,
NGC5866,,G,galaxie,15.1082,55.7632,6.31,2.72,9.89,sans,
NGC5850,,G,galaxie,15.1188,1.5442,3.35,2.37,11.0,sans,
NGC5854,,G,galaxie,15.1299,2.5686,3.02,0.71,11.8,sans,
NGC5861,,G,galaxie,15.1545,-11.3217,2.78,1.11,11.69,sans,
NGC5879,,G,galaxie,15.163,57.0002,3.79,1.42,11.47,sans,
NGC5833,,G,galaxie,15.1982,-72.8594,3.10,0.98,11.93,sans,
NGC5873,,PN,nebuleuse planetaire,15.2141,-38.1256,0.12,0.12,11.0,LP,
NGC5878,,G,galaxie,15.2294,-14.2698,3.27,1.21,11.67,sans,
NGC5885,,G,galaxie,15.2512,-10.086,3.07,2.59,11.7,sans,
NGC5907,,G,galaxie,15.2649,56.3288,11.30,1.75,10.37,sans,
NGC5908,,G,galaxie,15.2787,55.4093,3.37,1.61,11.89,sans,
NGC5882,,PN,nebuleuse planetaire,15.2806,-45.6493,0.23,0.23,10.18,LP,
NGC5897,,GCl,amas globulaire,15.2901,-21.0101,9.90,9.90,8.52,sans,
NGC5898,,G,galaxie,15.3038,-24.0979,2.66,2.37,11.38,sans,
M5,,GCl,amas globulaire,15.3094,2.0827,15.00,15.00,5.95,sans,5
NGC5903,,G,galaxie,15.3101,-24.0686,3.00,2.23,11.27,sans,
NGC5921,,G,galaxie,15.3657,5.0705,3.02,2.03,11.02,sans,
NGC5925,,OCl,amas ouvert,15.4574,-54.5288,4.80,4.80,8.4,sans,
NGC5927,,GCl,amas globulaire,15.4668,-50.6728,6.60,6.60,8.86,sans,
NGC5965,,G,galaxie,15.5673,56.6856,5.08,0.78,11.78,sans,
NGC5946,,GCl,amas globulaire,15.5913,-50.6597,3.60,3.60,10.72,sans,
NGC5938,,G,galaxie,15.6073,-66.8597,2.31,1.59,11.49,sans,
NGC5962,,G,galaxie,15.6088,16.6078,2.48,1.61,11.5,sans,
NGC5964,,G,galaxie,15.6267,5.974,3.42,2.56,11.82,sans,
NGC5970,,G,galaxie,15.6417,12.1866,2.77,1.91,11.61,sans,
NGC5982,,G,galaxie,15.6444,59.3558,3.07,2.00,11.07,sans,
NGC5985,,G,galaxie,15.6603,59.3319,3.98,2.01,11.81,sans,
NGC5987,,G,galaxie,15.6659,58.0795,3.84,1.32,11.72,sans,
NGC5986,,GCl,amas globulaire,15.7676,-37.7861,5.40,5.40,6.92,sans,
NGC5979,,PN,nebuleuse planetaire,15.7947,-61.2179,0.13,0.13,11.5,LP,
NGC6015,,G,galaxie,15.857,62.31,5.81,2.57,11.17,sans,
NGC5999,,OCl,amas ouvert,15.8691,-56.4728,3.30,3.30,9.0,sans,
NGC6012,,G,galaxie,15.9039,14.6013,1.77,1.27,11.96,sans,
NGC6005,,OCl,amas ouvert,15.9302,-57.4374,4.20,4.20,10.7,sans,
NGC6025,,OCl,amas ouvert,16.0549,-60.4314,11.40,11.40,5.1,sans,
NGC6031,,OCl,amas ouvert,16.1265,-54.0149,4.80,4.80,8.5,sans,
NGC6070,,G,galaxie,16.1663,0.7093,3.49,1.84,11.75,sans,
IC4593,,PN,nebuleuse planetaire,16.1957,12.0714,0.66,0.66,10.7,LP,
IC4592,,RfN,nebuleuse par reflexion,16.1996,-19.4547,60.00,40.00,3.9,sans,
NGC6072,,PN,nebuleuse planetaire,16.2162,-36.23,1.17,1.17,11.7,LP,
NGC6067,,OCl,amas ouvert,16.2197,-54.2189,8.10,8.10,5.6,sans,
M80,,GCl,amas globulaire,16.284,-22.9751,5.70,5.70,7.3,sans,80
NGC6087,S Nor Cluster,OCl,amas ouvert,16.3141,-57.9346,10.20,10.20,5.4,sans,
NGC6125,,G,galaxie,16.3199,57.9842,1.38,1.38,12.0,sans,
NGC6140,,G,galaxie,16.3495,65.3906,2.09,1.78,11.66,sans,
NGC6118,,G,galaxie,16.3635,-2.2834,4.45,1.78,11.71,sans,
M4,,GCl,amas globulaire,16.3932,-26.5255,28.20,28.20,5.4,sans,4
NGC6115,,OCl,amas ouvert,16.4073,-51.9482,4.5,4.5,9.8,sans,
NGC6124,,OCl,amas ouvert,16.4222,-40.6537,13.50,13.50,5.8,sans,
IC4604,rho Oph Nebula,Neb,nebuleuse,16.4253,-23.4366,60.00,25.00,5.1,LP,
NGC6101,,GCl,amas globulaire,16.4302,-72.2016,4.50,4.50,10.08,sans,
NGC6144,,GCl,amas globulaire,16.4539,-26.0247,5.40,5.40,9.63,sans,
NGC6139,,GCl,amas globulaire,16.4613,-38.8498,4.50,4.50,9.68,sans,
NGC6134,,OCl,amas ouvert,16.4629,-49.1512,6.90,6.90,7.2,sans,
NGC6166,,G,galaxie,16.4774,39.5516,2.14,1.54,11.91,sans,
IC4605,,Neb,nebuleuse,16.5035,-25.1152,30.00,15.00,4.7,LP,
NGC6153,,PN,nebuleuse planetaire,16.5252,-40.2534,0.40,0.40,10.9,LP,
NGC6181,,G,galaxie,16.5392,19.8266,2.39,0.99,11.82,sans,
M107,,GCl,amas globulaire,16.5422,-13.0536,7.80,7.80,8.85,sans,107
NGC6152,,OCl,amas ouvert,16.546,-52.644,6.60,6.60,8.1,sans,
NGC6164,,Neb,nebuleuse,16.5616,-48.0801,1.41,0.60,6.71,LP,
NGC6165,,Neb,nebuleuse,16.5676,-48.1505,2.50,0.50,6.71,LP,
NGC6169,,OCl,amas ouvert,16.568,-44.0456,4.20,4.20,6.6,sans,
NGC6167,,OCl,amas ouvert,16.5764,-49.7719,7.20,7.20,6.7,sans,
NGC6156,,G,galaxie,16.5813,-60.6188,1.87,1.60,11.98,sans,
NGC6178,,OCl,amas ouvert,16.5965,-45.6437,6.90,6.90,7.2,sans,
NGC6192,,OCl,amas ouvert,16.6733,-43.3668,7.50,7.50,8.5,sans,
M13,Hercules Globular Cluster,GCl,amas globulaire,16.6949,36.4613,16.50,16.50,5.8,sans,13
NGC6207,,G,galaxie,16.7177,36.8324,3.46,1.61,11.64,sans,
NGC6200,,OCl,amas ouvert,16.7354,-47.4627,8.10,8.10,7.4,sans,
NGC6210,,PN,nebuleuse planetaire,16.7415,23.7998,0.50,0.50,9.65,LP,
NGC6204,,OCl,amas ouvert,16.7693,-47.017,4.50,4.50,8.2,sans,
NGC6229,,GCl,amas globulaire,16.783,47.5278,4.80,4.80,9.86,sans,
M12,,GCl,amas globulaire,16.7874,-1.9478,11.10,11.10,6.07,sans,12
NGC6216,,OCl,amas ouvert,16.8232,-44.7315,4.20,4.20,10.1,sans,
NGC6208,,OCl,amas ouvert,16.8245,-53.7283,8.40,8.40,7.2,sans,
NGC6215,,G,galaxie,16.8519,-58.9935,2.64,2.34,11.16,sans,
NGC6221,,G,galaxie,16.8795,-59.2186,4.84,3.15,10.54,sans,
NGC6235,,GCl,amas globulaire,16.8904,-22.1774,4.20,4.20,7.2,sans,
NGC6231,,OCl,amas ouvert,16.903,-41.8243,13.80,13.80,2.6,sans,
NGC6242,,OCl,amas ouvert,16.926,-39.4609,6.60,6.60,6.4,sans,
M10,,GCl,amas globulaire,16.9525,-4.0993,9.30,9.30,4.98,sans,10
NGC6249,,OCl,amas ouvert,16.9615,-44.8119,7.60,7.60,8.2,sans,
NGC6250,,Cl+N,amas + nebuleuse,16.9656,-45.9366,9.60,9.60,5.9,LP,
NGC6253,,OCl,amas ouvert,16.9848,-52.7088,6.00,6.00,10.2,sans,
NGC6259,,OCl,amas ouvert,17.0126,-44.655,6.00,6.00,8.0,sans,
M62,,GCl,amas globulaire,17.0202,-30.1124,7.80,7.80,7.39,sans,62
IC4634,,PN,nebuleuse planetaire,17.026,-21.826,0.14,0.14,10.9,LP,
NGC6268,,OCl,amas ouvert,17.0362,-39.7282,6.00,6.00,9.5,sans,
M19,,GCl,amas globulaire,17.0438,-26.2679,7.50,7.50,5.57,sans,19
NGC6284,,GCl,amas globulaire,17.0747,-24.7643,6.60,6.60,7.43,sans,
NGC6281,,OCl,amas ouvert,17.0781,-37.9852,10.20,10.20,5.4,sans,
NGC6287,,GCl,amas globulaire,17.0859,-22.708,5.40,5.40,10.3,sans,
NGC6293,,GCl,amas globulaire,17.1696,-26.5817,4.50,4.50,9.02,sans,
NGC6340,,G,galaxie,17.1736,72.3044,3.04,2.88,11.11,sans,
NGC6302,Bug Nebula,PN,nebuleuse planetaire,17.2291,-37.1031,0.74,0.74,9.6,LP,
NGC6309,Box Nebula,PN,nebuleuse planetaire,17.2345,-12.9106,0.26,0.26,11.5,LP,
NGC6304,,GCl,amas globulaire,17.2424,-29.4623,3.60,3.60,9.03,sans,
NGC6318,,OCl,amas ouvert,17.2699,-39.425,3.30,3.30,11.8,sans,
NGC6316,,GCl,amas globulaire,17.2771,-28.14,4.80,4.80,9.03,sans,
NGC6300,,G,galaxie,17.2832,-62.8206,5.33,3.37,10.27,sans,
M92,,GCl,amas globulaire,17.2854,43.1365,14.40,14.40,6.52,sans,92
